questionid,questiontext,questiontype,answerid_1,optiontext_1,fraction_1,answerstatus_1,answerid_2,optiontext_2,fraction_2,answerstatus_2,answerid_3,optiontext_3,fraction_3,answerstatus_3,answerid_4,optiontext_4,fraction_4,answerstatus_4,answerid_5,optiontext_5,fraction_5,answerstatus_5,answerid_6,optiontext_6,fraction_6,answerstatus_6,tagid_1,tagname_1,tagid_2,tagname_2,tagid_3,tagname_3,tagid_4,tagname_4,tagid_5,tagname_5,tagid_6,tagname_6,tagid_7,tagname_7
1738,"During suctioning, the dominant hand is considered",multichoice,4148,Clean,0.0000000,Incorrect,4149,Sterile,1.0000000,Correct,,,,,,,,,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1116,"Competency area: procedure of suctioning",1117,"Type: skill",1118,"Competency Definition: the dominant hand",,,,
1739,"During suctioning, the non dominant hand is used for all except",multichoice,4150,"Manipulating the catheter",1.0000000,Correct,4151,"Control the suction port",0.0000000,Incorrect,4152,"Pick up the connecting tubing",0.0000000,Incorrect,4153,"Remove the oxygen delivery devices",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1116,"Competency area: procedure of suctioning",1117,"Type: skill",1119,"Competency Definition: the non dominant hand",,,,
1736,"High vacuum pressure during suctioning can lead to all except",multichoice,4140,"Tracheal Mucosal Injury",0.0000000,Incorrect,4141,Atelectasis,0.0000000,Incorrect,4142,Hypoxia,0.0000000,Incorrect,4143,Hyperoxia,1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1116,"Competency area: procedure of suctioning",1120,"Type: knowledge",1121,"Competency Definition: high vacuum pressure",,,,
1730,"How long should a suction last?",multichoice,4116,"Approximately 40 seconds",0.0000000,Incorrect,4117,"Approximately 30 seconds",0.0000000,Incorrect,4118,"Approximately 15 seconds",1.0000000,Correct,4119,"Approximately 5 seconds",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1116,"Competency area: procedure of suctioning",1117,"Type: skill",1122,"Competency Definition: time of suction",,,,
1735,"Preoxygenation before and during suctioning is done to prevent",multichoice,4136,Hyperoxia,0.0000000,Incorrect,4137,Hypoxia,1.0000000,Correct,4138,"Absorption Atelectasis",0.0000000,Incorrect,4139,Retinopathy,0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1116,"Competency area: procedure of suctioning",1117,"Type: skill",1123,"Competency Definition: preoxygenation before and during suctioning",,,,
1737,"The general recommendation for adults is to use suction catheter that has an external diameter",multichoice,4144,"More than 50% of the size of the ETT inner diameter",0.0000000,Incorrect,4145,"Less than 50% of the size of the ETT inner diameter",1.0000000,Correct,4146,"More than 40% of the size of the ETT inner diameter",0.0000000,Incorrect,4147,"Less than  40% of the size of the ETT inner diameter",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1116,"Competency area: procedure of suctioning",1120,"Type: knowledge",1124,"Competency Definition: diameter of suction catheter",,,,
1731,"The length of the suction catheter inserted for nasopharyngeal suctioning should be",multichoice,4120,"1 to 2 inches",0.0000000,Incorrect,4121,"2 to 3 inches",0.0000000,Incorrect,4122,"3 to 4 inches",0.0000000,Incorrect,4123,"5 to 6 inches",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1117,"Type: skill",1125,"Competency Definition: length of suction catheter",1126,"nasopharyngeal suctioning",1135,"Competency area: nasopharyngeal suctioning",,
1732,"The length of the suction catheter inserted for oropharyngeal suctioning should be",multichoice,4124,"1 to 2 inches",0.0000000,Incorrect,4125,"2 to 3 inches",0.0000000,Incorrect,4126,"3 to 4 inches",1.0000000,Correct,4127,"5 to 6 inches",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1117,"Type: skill",1125,"Competency Definition: length of suction catheter",1137,"Competency area: oropharyngeal suctioning",,,,
1734,"The length of the suction catheter inserted through endotracheal tube for endotracheal suctioning should be",multichoice,4132,"12 to 20 cm",0.0000000,Incorrect,4133,"20 to 28 cm",0.0000000,Incorrect,4134,"30 to 38 cm",1.0000000,Correct,4135,"40 to 45 cm",0.0000000,Incorrect,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1117,"Type: skill",1125,"Competency Definition: length of suction catheter",1128,"endotracheal tube",1138,"Competency area: endotracheal suctioning",,
1733,"The length of the suction catheter inserted through tracheotomy tube for tracheal suctioning should be",multichoice,4128,"4 to 6 cm",0.0000000,Incorrect,4129,"6 to 8 cm",0.0000000,Incorrect,4130,"8 to 10 cm",0.0000000,Incorrect,4131,"13 to 15 cm",1.0000000,Correct,,,,,,,,,1114,"Domain: evidence base practice",1115,"Competency Name: suctioning procedure",1117,"Type: skill",1125,"Competency Definition: length of suction catheter",1129,"tracheal suctioning",1139,"Competency area: tracheal suctioning",,
